FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestScaledDurationField.java,TestScaledDurationField.java,TestScaledDurationField,9,28,103,24,0,24,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestUnsupportedDateTimeField.java,TestUnsupportedDateTimeField.java,TestUnsupportedDateTimeField,8,10,73,8,0,8,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestAll.java,TestAll.java,TestAll,3,2,19,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestDateTimeFormat.java,TestDateTimeFormat.java,TestDateTimeFormat,13,70,539,65,0,65,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestDateTimeFormatStyle.java,TestDateTimeFormatStyle.java,TestDateTimeFormatStyle,10,25,198,21,0,21,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestDateTimeFormatter.java,TestDateTimeFormatter.java,CustomDateTimePrinter,20,85,541,76,0,76,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestDateTimeFormatterBuilder.java,TestDateTimeFormatterBuilder.java,TestDateTimeFormatterBuilder,12,62,359,57,0,57,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestDateTimeParserBucket.java,TestDateTimeParserBucket.java,TestDateTimeParserBucket,8,22,170,18,0,18,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestISODateTimeFormat.java,TestISODateTimeFormat.java,TestISODateTimeFormat,10,50,276,46,0,46,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestISODateTimeFormatParsing.java,TestISODateTimeFormatParsing.java,TestISODateTimeFormatParsing,6,46,594,39,0,39,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\format\TestISODateTimeFormat_Fields.java,TestISODateTimeFormat_Fields.java,TestISODateTimeFormat_Fields,9,44,633,40,0,40,true,true,false,true,false,false,false,false,false,false
